,site_id,village,edu_age_15up_total,EducationWeight,Merriage/NoMerriage,ordinary/single,FamilyWeight,18-38,39-59,60-80,81-100,Total_Ratio,18-59/60-100,Agree_x,Useful_x,Agree_y,Useful_y
2822,新北市泰山區,全興里,7698,4.187840997661731,3.91484593837535,2.048076923076923,3.3688222923238698,2453.0,3882.0,927.0,64.0,0.9494071146245059,1.8091728091728092,1612,3901,2835,3944
2823,新北市泰山區,同榮里,3746,3.9265883609183128,3.0264550264550265,2.887434554973822,3.6592592592592594,1384.0,1351.0,780.0,88.0,0.9668030923146885,1.881210102692201,877,1956,1339,1941
2824,新北市泰山區,同興里,3393,4.020335985853227,3.604651162790698,2.8351063829787235,3.602635228848821,1111.0,1431.0,625.0,60.0,0.9421296296296297,1.886581964673071,814,1748,1233,1742
2825,新北市泰山區,大科里,899,3.5806451612903225,3.2771084337349397,2.0088495575221237,3.8705882352941177,283.0,359.0,155.0,35.0,1.168859649122807,1.9302884615384615,203,426,305,421
2826,新北市泰山區,山腳里,6141,3.895782445855724,3.086743044189853,2.646539027982327,3.624394184168013,2338.0,2334.0,1139.0,121.0,1.0178268251273344,1.8386716115981119,1307,2986,2136,2977
2827,新北市泰山區,新明里,3047,3.8562520511978997,3.043525571273123,2.589442815249267,3.6266339869281046,1159.0,1071.0,652.0,39.0,0.973908111174135,1.8531324888736733,716,1531,1111,1522
2828,新北市泰山區,明志里,3397,3.9287606711804535,2.9281767955801103,2.80672268907563,3.5445180279617365,1337.0,1138.0,783.0,51.0,0.9674465920651069,1.8634028407373828,835,1803,1267,1813
2829,新北市泰山區,楓樹里,4067,3.854192279321367,3.375,2.111111111111111,3.6094847775175642,1422.0,1625.0,757.0,96.0,1.0141448778396913,1.8787179487179486,942,2054,1562,2050
2830,新北市泰山區,泰友里,2053,3.8528981977593766,2.801762114537445,2.7149532710280373,3.6389937106918238,776.0,733.0,441.0,32.0,0.9408783783783784,1.8632694248234107,554,1153,777,1153
2831,新北市泰山區,福泰里,2644,3.683434190620272,3.214190093708166,2.4174757281553396,3.659090909090909,886.0,937.0,635.0,66.0,1.0194500335345407,1.952852614896989,619,1345,1004,1337
2832,新北市泰山區,福興里,3320,4.044578313253012,3.4192090395480226,2.4585365853658536,3.550070521861777,1089.0,1408.0,603.0,71.0,0.9566968781470292,1.891516871649322,755,1757,1246,1762
2833,新北市泰山區,義仁里,7501,4.036128516197841,3.2668257756563244,2.29251012145749,3.5106055948355364,2904.0,3053.0,1218.0,75.0,0.9872331058771737,1.7881379310344827,1764,3752,2608,3740
2834,新北市泰山區,義學里,4250,3.8905882352941177,3.0705229793977815,2.741304347826087,3.6345148169668797,1622.0,1597.0,768.0,67.0,1.0012106537530265,1.8223976319684263,1045,2157,1631,2175
2835,新北市泰山區,貴和里,4497,3.9479653102068046,3.161977186311787,2.0295489891135303,3.4979466119096507,1653.0,1667.0,982.0,51.0,0.9737941511583745,1.8692855501952677,1124,2398,1675,2367
2836,新北市泰山區,貴子里,3624,3.9690949227373067,3.0673952641165756,1.8736462093862816,3.5025125628140703,1309.0,1376.0,759.0,76.0,0.991270611057226,1.8869318181818182,929,1936,1397,1937
2837,新北市泰山區,貴賢里,3423,4.069821793748174,2.978544776119403,1.9842209072978303,3.3965631196298744,1179.0,1280.0,830.0,50.0,0.9640688259109311,1.9254267744833782,816,1879,1319,1878
2838,新北市泰山區,黎明里,3194,3.874452097683156,3.315192743764172,2.5649867374005306,3.613095238095238,1081.0,1383.0,533.0,59.0,0.9452479338842975,1.8592931937172774,689,1558,1135,1560
2839,新北市淡水區,中和里,574,3.278745644599303,4.24,1.75,3.9681818181818183,141.0,227.0,136.0,41.0,1.3670411985018727,2.141284403669725,150,277,198,269
2840,新北市淡水區,中興里,3782,3.797990481226864,3.0303292894280762,1.3888111888111887,3.4648711943793913,1171.0,1358.0,932.0,209.0,0.934752429430819,2.048773841961853,836,1934,1409,1956
2841,新北市淡水區,八勢里,5066,4.508093170153968,3.0241116751269037,0.7404803749267721,3.1884887243352407,1463.0,2291.0,1289.0,169.0,0.8149765990639626,2.031465848042978,1112,2691,1596,2537
2842,新北市淡水區,北投里,8587,4.325957843251427,3.6172052799271732,1.439227960354721,3.2994011976047903,2955.0,3830.0,1471.0,173.0,0.9021417377677172,1.864989915766995,1830,4520,3051,4516
2843,新北市淡水區,北新里,2514,4.2653142402545745,2.9316129032258065,1.130637636080871,3.2124087591240875,880.0,1093.0,442.0,39.0,0.8881028938906752,1.8533007334963325,525,1273,828,1297
2844,新北市淡水區,協元里,1430,3.8573426573426572,2.9035087719298245,1.7963800904977376,3.5372168284789645,460.0,518.0,338.0,70.0,0.9849624060150376,2.012987012987013,332,709,498,733
2845,新北市淡水區,坪頂里,1358,4.000736377025037,3.2275,1.267605633802817,3.3680124223602483,379.0,501.0,372.0,40.0,0.9858557284299858,2.056501547987616,309,660,450,644
2846,新北市淡水區,埤島里,1491,3.759221998658618,3.7744565217391304,1.2928348909657321,3.400815217391304,563.0,597.0,309.0,54.0,1.1411764705882352,1.9041365725541695,326,744,553,734
2847,新北市淡水區,大庄里,6637,4.2672894379990955,3.1450617283950617,1.036994877632328,3.2455993294216263,2284.0,2883.0,1661.0,154.0,0.8734117647058823,1.9548839873961616,1251,3302,2310,3277
2848,新北市淡水區,學府里,4305,4.072241579558653,2.87746170678337,1.083969465648855,3.3685897435897436,1415.0,1799.0,830.0,104.0,0.9129057798891528,1.909112825458052,809,2024,1403,2058
2849,新北市淡水區,屯山里,1086,3.4005524861878453,3.508710801393728,1.967479674796748,4.1068493150684935,354.0,385.0,231.0,75.0,1.1575091575091576,2.025837320574163,258,545,397,537
2850,新北市淡水區,崁頂里,11071,4.32878692078403,3.373572593800979,0.9130806497577657,3.186652763295099,4554.0,5274.0,2212.0,228.0,0.9260482846251589,1.8462667101402022,2176,5607,3902,5619
2851,新北市淡水區,幸福里,3778,3.925886712546321,2.925771476230192,1.7487520798668885,3.541767554479419,1260.0,1322.0,892.0,143.0,0.9374137137597791,1.97732927840752,871,1895,1363,1913
2852,新北市淡水區,忠寮里,1115,3.4161434977578473,3.7364620938628157,2.0875912408759123,3.7919621749408985,295.0,429.0,262.0,77.0,1.2951127819548873,2.1138287864534338,295,558,412,531
2853,新北市淡水區,忠山里,857,3.4352392065344226,3.849514563106796,1.3269230769230769,3.603305785123967,219.0,323.0,222.0,43.0,1.2265060240963856,2.1102850061957867,189,430,333,443
2854,新北市淡水區,文化里,1677,4.15742397137746,3.2893617021276595,1.3812316715542523,3.4051724137931036,490.0,677.0,374.0,63.0,0.873767258382643,2.006234413965087,369,875,643,885
2855,新北市淡水區,新春里,7594,4.182117461153542,3.279446828803052,1.890145395799677,3.3499161542761318,2747.0,3221.0,1312.0,134.0,0.9256022170112982,1.8425950903695711,1589,3799,2671,3851
2856,新北市淡水區,新民里,4395,4.211376564277588,3.0193885160328113,1.5987012987012987,3.396301849075462,1512.0,1708.0,923.0,113.0,0.9132970451010887,1.9147086466165413,977,2343,1482,2236
2857,新北市淡水區,新生里,433,4.364896073903003,2.633986928104575,1.054054054054054,3.258771929824561,141.0,152.0,104.0,28.0,0.8861788617886179,2.0447058823529414,123,244,161,244
